SA;FY
-0.2;6103.718476935362
-0.19595959595959597;6176.061817507355
-0.19191919191919193;6108.669456288991
-0.1878787878787879;6209.556970326084
-0.18383838383838386;6142.290166654473
-0.17979797979797982;6105.991277944112
-0.17575757575757578;6148.432895240853
-0.1717171717171717;6177.092386133859
-0.1676767676767677;6193.75141377704
-0.16363636363636364;6144.204025200552
-0.15959595959595962;6325.51957990601
-0.15555555555555556;6235.159969906133
-0.15151515151515152;6316.928589011275
-0.14747474747474748;6051.745174047631
-0.14343434343434344;6225.920388753606
-0.1393939393939394;6151.471997789924
-0.13535353535353536;6157.933657384533
-0.13131313131313133;6145.374668865585
-0.1272727272727273;6085.548514362167
-0.12323232323232325;6024.204736183632
-0.11919191919191921;5938.868818263968
-0.11515151515151516;5961.641953346006
-0.11111111111111112;5913.201834676621
-0.10707070707070708;5728.548389141107
-0.10303030303030304;5720.589650548172
-0.098989898989899;5494.276093382776
-0.09494949494949496;5559.632402905345
-0.09090909090909093;5412.883311804504
-0.08686868686868687;5247.287679834387
-0.08282828282828283;5143.188959565262
-0.0787878787878788;4993.2397613639605
-0.07474747474747476;4850.565154893778
-0.07070707070707072;4720.173215534452
-0.06666666666666668;4386.065186007466
-0.06262626262626264;4183.688966448691
-0.0585858585858586;4024.949261132796
-0.054545454545454564;3832.9966431661423
-0.050505050505050525;3560.6115499259004
-0.046464646464646486;3323.694426800888
-0.04242424242424245;3051.1081330928696
-0.03838383838383841;2918.3032047854317
-0.03434343434343434;2550.4631589054334
-0.030303030303030304;2343.3914848825175
-0.026262626262626265;2015.265035594285
-0.022222222222222227;1734.9991866001405
-0.018181818181818188;1460.7132757001823
-0.01414141414141415;1150.007488987796
-0.01010101010101011;849.9168200783238
-0.006060606060606072;618.2288939117348
-0.002020202020202033;341.6288960104491
0.0020202020202020055;-91.27628482794795
0.006060606060606044;-422.6453160003769
0.010101010101010083;-554.6460368279872
0.014141414141414121;-926.7863502101862
0.01818181818181816;-1193.6255960060955
0.0222222222222222;-1463.5422947235973
0.026262626262626265;-1736.6128042734829
0.030303030303030304;-2061.3539955774104
0.03434343434343434;-2300.9858665742004
0.03838383838383838;-2560.6492702211567
0.04242424242424242;-2774.3090411242742
0.04646464646464646;-3048.117484192683
0.0505050505050505;-3371.8798260286153
0.05454545454545451;-3636.6282327123045
0.058585858585858575;-3909.3428920216306
0.06262626262626264;-4002.80750527408
0.06666666666666665;-4284.012888158817
0.07070707070707072;-4427.708647127945
0.07474747474747473;-4571.918894816897
0.0787878787878788;-4764.357484074717
0.0828282828282828;-5004.60526158023
0.08686868686868687;-4868.275060048267
0.09090909090909088;-5204.685322346651
0.09494949494949495;-5336.050195958857
0.09898989898989896;-5444.441534642036
0.10303030303030303;-5465.97269496789
0.10707070707070704;-5641.104709234462
0.1111111111111111;-5625.913901065611
0.11515151515151512;-5646.540217169628
0.11919191919191918;-5891.688493063824
0.1232323232323232;-5858.296330291625
0.12727272727272726;-5925.302873924768
0.13131313131313133;-5967.6609962844805
0.13535353535353534;-5966.664468656321
0.1393939393939394;-5959.525605558421
0.14343434343434341;-6155.23980956112
0.14747474747474748;-6031.123279214314
0.1515151515151515;-6013.330708634694
0.15555555555555556;-6054.70288218868
0.15959595959595957;-6029.776062004125
0.16363636363636364;-6130.263354231472
0.16767676767676765;-6119.124161933792
0.1717171717171717;-6147.223938532164
0.17575757575757572;-6028.939154454284
0.1797979797979798;-6078.1492105865445
0.1838383838383838;-6051.162542080798
0.18787878787878787;-6001.524146338394
0.19191919191919193;-6064.965589129849
0.19595959595959594;-6011.222427318594
0.2;-5959.146075700822
